No.1 : ,"開発時は、何かとネット情報にてでお世話になっているので、区切り着けば、頭の整理みたくで購入。オライリーのものと一瞬悩んだが、著者の書籍は読み易いので選択
。読んでからそうだったんだねって事もある。イメージ通りに動作して結果出てオッケーみたくな状況下で、ネット情報文章はほぼ必要箇所の拾い読みがほとんどの私なので、と
りあえず完成後は、紙媒体で読んで頭の中を整理しまとめたいのです。やはり著者の実績でしょうね、選択の決め手は。"
No.2 : ,"初心者向けとのことで読み進めていったがいきなり序盤で本に間違いがあり2時間試行錯誤したあげくググったら5分で解決なんのために金出して買ったのか特に序盤は
初心者が要領を掴むまでに変な間違いがあると貴重な時間とモチベーションを大きく失うので間違いはあってはいけないもう少し読み進めて改めて再評価するちなみにその間違い
とはVScodeのコード実行に関して、本には右クリックのコンテキストメニューから実行とあるが、実際には実行ボタンはメニューには存在せず違う場所に再生ボタンがある
初歩過ぎるのは解っているが、バージョンが違うと思って再インストールしたり、設定をいじりまくったりして無駄に消耗したこういう間違いは断言してあるだけにまさか間違っ
てるとは疑わないから一番質が悪い"
No.3 : ,全くの初心者ですが、細部に亘り丁寧に説明され、例題等で補充されているので初心者のTextとしては非常に相応しい絶好の本だとと思います。
No.4 : ,"独習者にはこの本は薦めない。説明は確かにいいが、説明と問題のギャップがありすぎる。サイトにもっとわかりやすく、説明されてるものがある。独習者のやる気をそ
ぐものだ。単に著者の知識をshow-offしているきらいがある。（追記）Pythonの独習を始めて１か月。その間に評価の良い、辻 慎吾 著「Python
スタートブック[増補改訂版] 」および Eric Matthes 著 訳本 「最短距離から学ぶ Python 入門」の書籍版を購入、勉強。やはり、この２冊は学習
項目に応じた問題があり、、理解度を判別でき、わかっていないポイントを再復習できる。ノービスに対してのテキストは本来こうあるべきだが。やはり、この本は薦めない。"
No.5 : ,"一通り勉強に利用しましたが、・所々にまだ習っていないような関数などが出てくる・サンプルに記載されている関数が、本では記載されていない・プログラムによって
は中略と書かれているが、どこからどこまでが略されているか分からない・プログラム名が間違っているといった不備があります。また１～７章辺りまでの説明は丁寧ですが、８
章辺りから急激に内容が難しくなり、理解するのに時間が掛かります。更にパソコンやプログラミングにおける知識は最低限必要な参考書であるため、プログラムの初心者向きで
はないと考えておいた方が良いと思いましょう。"
No.6 : ,"ド素人（Javaの文法がなんとなくわかるくらい）プログラミング学習者でも、余裕で理解が進む。重たいけどその分順を追って章立てしてあるのですごくわかりやす
い。読んで、欲しかったのはこれだよ！って思った。個人的にオライリーよりとっつきやすいし、毎日継続できてる。"
No.7 : ,"初心者には少し難しいかもしれませんが、中盤まではスイスイ読めます。記載も丁寧で分かりやすい。終盤の方ですが時間のある方がじっくりと学ぶのには適当だけど、
急ぐ方は他の問題集などを解きながら本書を読み進めると、より深く理解出来ます。"
No.8 : ,"問題をバンバンといて理解したい人間にとってかなり退屈になる内容だと感じました。説明と問題の比は8:2といったところです。ただ、それだけ説明にページを割い
ているだけありpythonの説明は1~10まですべて揃っています。python入門の次に読み、知識を定着させるのにぴったりだと思います。ただ、先ほどから申してま
す通り問題を解きたい人には不向きでした。"
No.9 : ,"全くの素人レベル(変数に代入するところ)からかかれてるので、他言語理解してる人は、辞書がわりに使った方がいい、全部読むのは時間の無駄。構成としてはよくで
きてる方だと思う。超初心者にはオススメです。"
No.10 : ,入門書としては、解りやすいと思う。内容的には、特に過不足もないが、特徴もない。入門向けのため、応用には不向き。
No.11 : ,"ネット検索でもある程度知ることはできるが、やはり検索の仕方で求める答えが得られるかどうかは自分次第なところ。でも、こういう一冊があれば知りたいことが見つ
かるので、便利に使っている。"
No.12 : ,プログラミングはすでに知っていて、Pythonのプログラムを動かしながら効率よく理解していこうとするに人にとっては物足りなさを感じると思う。
